"Timestamp","What's your age?","What is your school year?","Do you consider Taylor Swift to be your ""favorite artist""?","Do you think Taylor Swift is more successful than other musical artists?","Choose one word to describe Taylor's music","Do you think Taylor Swift only writes break up songs about her exes?","Do you think Taylor's music is emotionally deep and profound?","On a scale of 1 to 10, rank Swift's song ""Cold As You"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""White Horse"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here
","On a scale of 1 to 10, rank Swift's song ""Dear John"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here
","On a scale of 1 to 10, rank Swift's song ""I Knew You Were Trouble."" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here
","On a scale of 1 to 10, rank Swift's song ""All You Had To Do Was Stay"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here
","On a scale of 1 to 10, rank Swift's song ""Delicate"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""The Archer"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""My Tears Ricochet"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""tolerate it"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""White Horse (Taylor's Version)"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""I Knew You Were Trouble (Taylor's Version)"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here","On a scale of 1 to 10, rank Swift's song ""You're On Your Own, Kid"" in terms of how much you like it. 

1 is that you don't like it at all and 10 is that you liked it a lot.

If you haven't heard this song, you can listen to it here"
"2023/04/09 3:24:54 PM AST","21","College Junior","Yes","","deep","No","Yes","6","5","8","9","6","9","8","7","6","5","9","9"
"2023/04/12 3:01:26 PM AST","21","College Junior","No","Yes","Awesome ","No","Yes","5","5","6","7","9","8","8","8","6","6","7","7"
"2023/04/12 3:03:29 PM AST","20","College Sophomore","No","Yes","Ethereal","No","Yes","4","7","3","4","7","9","5","5","4","8","6","7"
"2023/04/12 3:10:05 PM AST","18","College Freshman","No","Yes","Overrated ","Yes","No","4","5","6","7","6","3","3","3","4","2","5","5"
"2023/04/12 3:10:55 PM AST","20","College Junior","No","Yes","thought-provoking ","No","Yes","5","10","8","9","9","7","5","6","10","10","8","7"
"2023/04/12 3:14:02 PM AST","19","College Sophomore","No","Yes","moving ","No","Yes","6","8","5","10","10","9","8","6","4","10","10","10"
"2023/04/12 3:14:14 PM AST","19","College Junior","No","Yes","Intriguing ","Yes","Yes","5","5","5","5","5","5","5","5","5","5","5","5"
"2023/04/12 3:15:53 PM AST","20","College Sophomore","No","Yes","vibey ","No","Yes","5","8","8","10","5","10","10","8","7","10","10","8"
"2023/04/12 3:23:22 PM AST","20","College Senior","No","Yes","energetic m","No","Yes","7","8","10","10","10","6","7","10","9","10","10","10"
"2023/04/12 3:24:07 PM AST","20","College Sophomore","Yes","Yes","Icon","No","Yes","8","7","10","7","7","7","6","9","8","10","9","10"
"2023/04/12 3:24:48 PM AST","21","College Junior","Yes","Yes","Masterpiece! ","No","Yes","7","8","10","9","9","10","10","10","9","8","9","10"
"2023/04/12 3:25:08 PM AST","21","College Senior","Yes","Yes","Heart-felt","No","Yes","8","9","10","7","10","10","10","10","10","10","10","10"
"2023/04/12 3:25:37 PM AST","22","College Senior","No","Yes","Impactful","No","Yes","8","8","10","7","8","9","10","7","7","8","7","9"
"2023/04/12 3:26:57 PM AST","20","College Junior","Yes","Yes","beautiful ","No","Yes","7","8","10","8","9","10","10","10","10","10","8","10"
"2023/04/12 3:31:16 PM AST","20","College Junior","No","Yes","Deep","No","Yes","5","5","5","10","7","10","6","5","5","5","10","8"
"2023/04/12 3:33:02 PM AST","16","High school","Yes","Yes","amazing ","No","Yes","7","8","10","10","9","10","7","4","7","6","10","10"
"2023/04/12 3:33:38 PM AST","21","College Junior","No","Yes","Creative ","No","Yes","9","9","8","7","3","5","5","6","5","9","8","4"
"2023/04/12 3:33:58 PM AST","15","High school","Yes","Yes","Incredible ","No","Yes","4","9","10","9","8","9","10","10","9","9","9","9"
"2023/04/12 3:34:18 PM AST","18","College Freshman","Yes","Yes","phenomenal","No","Yes","8","10","6","9","5","10","10","10","10","10","9","10"
"2023/04/12 3:35:06 PM AST","18","College Freshman","No","Yes","Seasonal","Yes","No","5","5","5","8","5","5","5","10","5","5","9","6"
"2023/04/12 3:39:17 PM AST","22","College Senior","No","Yes","brilliant","No","Yes","7","10","10","4","6","9","8","10","10","10","4","8"
"2023/04/12 3:41:12 PM AST","19","College Sophomore","Yes","Yes","Perfection","No","Yes","7","10","10","5","8","9","10","10","9","10","5","10"
"2023/04/12 3:42:17 PM AST","21","College Junior","Yes","Yes","Spectacular","No","Yes","5","8","8","9","9","9","5","7","9","8","9","7"
"2023/04/12 3:45:13 PM AST","18","College Freshman","No","Yes","Baseline","No","No","3","8","7","1","1","8","4","5","7","6","1","1"
"2023/04/12 3:46:26 PM AST","19","College Sophomore","Yes","Yes","Mastermind","No","Yes","8","9","10","6","9","7","10","9","9","9","6","9"
"2023/04/12 3:47:10 PM AST","19","College Sophomore","Yes","Yes","Real","No","Yes","4","7","9","4","5","7","7","10","10","8","4","10"
"2023/04/12 3:54:46 PM AST","19","College Freshman","Yes","Yes","Narrative","No","Yes","6","7","10","8","8","7","7","10","10","8","8","10"
"2023/04/12 4:02:40 PM AST","20","College Sophomore","Yes","Yes","Philosophical ","No","Yes","10","10","10","10","10","10","7","10","10","10","9","10"
"2023/04/12 4:33:41 PM AST","21","College Junior","No","Yes","catchy","No","Yes","7","8","6","4","6","7","5","5","5","7","5","7"
"2023/04/12 4:52:07 PM AST","20","College Junior","Yes","Yes","Enchanting ","No","Yes","6","7","7","5","8","9","4","7","10","8","6","10"
"2023/04/12 5:00:26 PM AST","22","College Senior","No","Yes","Trendy","No","No","4","5","5","7","7","6","5","5","5","5","7","6"
"2023/04/12 5:19:57 PM AST","19","College Sophomore","No","Yes","white ","No","Yes","5","5","6","9","3","7","4","5","5","5","10","10"
